tag	data
0	"For example, we can suggest that you join a group on Facebook that includes people you follow on Instagram or communicate with using Messenger."
1	"We can also make your experience more seamless, for example, by automatically filling in your registration information (such as your phone number) from one Facebook Product when you sign up for an account on a different Product."
1	"Location-related information: We use location-related information-such as your current location, where you live, the places you like to go, and the businesses and people you're near-to provide, personalize and improve our Products, including ads, for you and others."
1	"Location-related information can be based on things like precise device location (if you've allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins or events you attend)."
0	"Product research and development: We use the information we have to develop, test and improve our Products, including by conducting surveys and research, and testing and troubleshooting new products and features."
0	"Ads and other sponsored content: We use the information we have about you-including information about your interests, actions and connections-to select and personalize ads, offers and other sponsored content that we show you."
0	"Learn more about how we select and personalize ads, and your choices over the data we use to select ads and other sponsored content for you in the Facebook Settings and Instagram Settings."
1	"Provide measurement, analytics, and other business services."
1	"We use the information we have (including your activity off our Products, such as the websites you visit and ads you see) to help advertisers and other partners measure the effectiveness and distribution of their ads and services, and understand the types of people who use their services and how people interact with their websites, apps, and services."
0	"Promote safety, integrity and security."
1	"We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and off of Facebook Products. "
1	"For example, we use data we have to investigate suspicious activity or violations of our terms or policies, or to detect when someone needs help. "
0	Communicate with you.
0	"We use the information we have to send you marketing communications, communicate with you about our Products, and let you know about our policies and terms. "
0	Research and innovate for social good.
1	"We use the information we have (including from research partners we collaborate with) to conduct and support research and innovation on topics of general social welfare, technological advancement, public interest, health and well-being. "
1	"For example, we analyze information we have about migration patterns during crises to aid relief efforts. "
1	III. How is this information shared?
0	Your information is shared with others in the following ways:
1	Sharing on Facebook Products
1	People and accounts you share and communicate with
0	"When you share and communicate using our Products, you choose the audience for what you share."
0	"For example, when you post on Facebook, you select the audience for the post, such as a group, all of your friends, the public, or a customized list of people. Similarly, when you use Messenger or Instagram to communicate with people or businesses, those people and businesses can see the content you send."
0	"Public information can be seen by anyone, on or off our Products, including if they don't have an account."
0	"This includes your Instagram username; any information you share with a public audience; information in your public profile on Facebook; and content you share on a Facebook Page, public Instagram account or any other public forum, such as Facebook Marketplace."
1	" You, other people using Facebook and Instagram, and we can provide access to or send public information to anyone on or off our Products, including in other Facebook Company Products, in search results, or through tools and APIs. Public information can also be seen, accessed, reshared or downloaded through third-party services such as search engines, APIs, and offline media such as TV, and by apps, websites and other services that integrate with our Products."
0	Learn more about what information is public and how to control your visibility on Facebook and Instagram.
0	Content others share or reshare about you
0	"You should consider who you choose to share with, because people who can see your activity on our Products can choose to share it with others on and off our Products, including people and businesses outside the audience you shared with."
0	"For example, when you share a post or send a message to specific friends or accounts, they can download, screenshot, or reshare that content to others across or off our Products, in person or in virtual reality experiences such as Facebook Spaces. "
0	"Also, when you comment on someone else's post or react to their content, your comment or reaction is visible to anyone who can see the other person's content, and that person can change the audience later."
0	People can also use our Products to create and share content about you with the audience they choose.
0	Information about your active status or presence on our Products.
0	"People in your networks can see signals telling them whether you are active on our Products, including whether you are currently active on Instagram, Messenger or Facebook, or when you last used our Products."
1	"Apps, websites, and third-party integrations on or using our Products."
1	"When you choose to use third-party apps, websites, or other services that use, or are integrated with, our Products, they can receive information about what you post or share. "
1	"For example, when you play a game with your Facebook friends or use a Facebook Comment or Share button on a website, the game developer or website can receive information about your activities in the game or receive a comment or link that you share from the website on Facebook. "
0	"Devices and operating systems providing native versions of Facebook and Instagram (i.e. where we have not developed our own first-party apps) will have access to all information you choose to share with them, including information your friends share with you, so they can provide our core functionality to you."
1	New owner.
1	"If the ownership or control of all or part of our Products or their assets changes, we may transfer your information to the new owner."
1	Sharing with Third-Party Partners
1	"We work with third-party partners who help us provide and improve our Products or who use Facebook Business Tools to grow their businesses, which makes it possible to operate our companies and provide free services to people around the world."
1	"We don't sell any of your information to anyone, and we never will. "
1	We also impose strict restrictions on how our partners can use and disclose the data we provide. Here are the types of third parties we share information with:
1	Partners who use our analytics services.
1	"We provide aggregated statistics and insights that help people and businesses understand how people are engaging with their posts, listings, Pages, videos and other content on and off the Facebook Products."
1	"For example, Page admins and Instagram business profiles receive information about the number of people or accounts who viewed, reacted to, or commented on their posts, as well as aggregate demographic and other information that helps them understand interactions with their Page or account."
1	Advertisers.
1	"We provide advertisers with reports about the kinds of people seeing their ads and how their ads are performing, but we don't share information that personally identifies you (information such as your name or email address that by itself can be used to contact you or identifies who you are) unless you give us permission"
1	Measurement partners.
1	We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.
1	Partners offering goods and services in our Products.
1	"When you subscribe to receive premium content, or buy something from a seller in our Products, the content creator or seller can receive your public information and other information you share with them, as well as the information needed to complete the transaction, including shipping and contact details."
1	Vendors and service providers.
1	"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys."
1	Researchers and academics.
1	"We also provide information and content to research partners and academics to conduct research that advances scholarship and innovation that support our business or mission, and enhances discovery and innovation on topics of general social welfare, technological advancement, public interest, health and well-being."
1	Law enforcement or legal requests.
1	We share information with law enforcement or in response to legal requests in the circumstances outlined below.
